"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"147","Austin Watson","OTT","L","27","264.06666666667","1","2","1","1","3","75.00","23","4.35","1.79","41","32","21","6","5","3","34","8","2","6","0","8","5","5","69","23","20","2","6","25.00"
"166","Colin Blackwell","CHI","C","23","285.63333333333","0","3","2","1","3","42.86","27","0.00","2.71","45","34","23","10","3","2","2","1","1","0","0","8","8","9","25","19","11","8","8","50.00"
"167","Ondrej Palat","N.J","L","6","112.28333333333","3","0","0","0","3","60.00","8","37.50","0.97","14","12","8","6","1","0","0","0","0","0","0","1","0","3","12","12","4","0","2","0.00"
"189","Joel Edmundson","MTL","D","17","332.28333333333","1","2","1","1","3","27.27","24","4.17","0.87","39","31","9","2","2","4","21","5","3","1","1","2","26","4","22","13","57","0","0","-"
"205","Nathan Beaulieu","ANA","D","16","202.6","0","3","1","2","3","27.27","8","0.00","0.72","25","13","11","4","1","1","28","8","4","4","0","4","3","2","16","11","29","0","0","-"
"206","Connor Murphy","CHI","D","26","516.18333333333","2","1","0","1","3","15.79","28","7.14","1.07","65","41","19","3","2","8","23","10","9","1","0","9","11","11","50","37","53","0","0","-"
"218","Ryan Murray","EDM","D","13","170.61666666667","0","3","2","1","3","60.00","8","0.00","0.53","17","12","5","2","0","1","4","2","2","0","0","1","7","0","11","17","12","0","0","-"
"243","Devin Shore","EDM","C","23","196.73333333333","0","3","2","1","3","50.00","14","0.00","1.49","28","20","22","8","0","2","2","1","1","0","0","1","5","7","26","20","12","40","33","54.79"
"247","Chris Tierney","FLA","C","4","34.316666666667","2","1","1","0","3","100.00","3","66.67","0.21","6","5","3","1","0","0","0","0","0","0","0","0","0","1","2","1","2","9","5","64.29"
"287","Mattias Janmark","EDM","C","14","213.71666666667","1","2","0","2","3","42.86","13","7.69","1.82","22","16","15","10","0","2","10","5","5","0","0","4","6","7","4","24","5","6","7","46.15"
"332","Ryan Carpenter","NYR","C","21","201.66666666667","1","2","1","1","3","50.00","17","5.88","2.04","30","25","20","11","2","3","10","5","5","0","0","2","12","6","35","24","11","67","57","54.03"
"345","Nikolaj Ehlers","WPG","L","2","38","0","3","1","2","3","100.00","7","0.00","0.74","19","13","11","2","0","0","0","0","0","0","0","2","1","4","2","3","1","0","0","-"
"359","Brendan Lemieux","L.A","L","15","141.78333333333","0","3","2","1","3","42.86","15","0.00","1.28","31","18","17","6","4","3","28","11","9","2","0","8","0","4","42","22","7","4","3","57.14"
"446","Austin Czarnik","DET","C","9","103.15","2","1","1","0","3","60.00","9","22.22","0.97","18","14","10","5","0","2","2","1","1","0","0","2","0","5","10","5","3","4","14","22.22"
"467","Philippe Myers","T.B","D","11","126.96666666667","1","2","0","2","3","42.86","21","4.76","0.53","37","26","11","3","2","4","4","2","2","0","0","1","5","9","31","23","6","0","0","-"
"496","Brett Howden","VGK","C","21","275.08333333333","1","2","1","1","3","30.00","21","4.76","3.25","46","37","34","19","1","2","10","5","5","0","0","5","4","9","33","40","16","62","57","52.10"
"513","Riley Stillman","VAN","D","16","241.25","0","3","0","3","3","27.27","17","0.00","0.48","34","20","3","1","0","1","19","5","2","3","0","5","3","2","23","17","13","0","0","-"
"551","Justin Danforth","CBJ","R","6","80.333333333333","2","1","1","0","3","75.00","10","20.00","1.71","20","17","17","7","0","0","4","2","2","0","0","2","1","1","7","8","1","4","9","30.77"
"561","Cal Foote","T.B","D","14","208.61666666667","1","2","1","1","3","37.50","12","8.33","0.43","25","17","6","1","4","1","9","3","2","1","0","4","3","6","22","27","12","0","0","-"
"567","Cody Glass","NSH","C","15","171.21666666667","1","2","0","2","3","75.00","19","5.26","2.45","38","28","25","8","2","6","2","1","1","0","0","2","1","6","8","13","3","46","59","43.81"
"581","Jack Studnicka","BOS, VAN","C","12","125.86666666667","2","1","1","0","3","75.00","16","12.50","1.14","22","20","14","5","2","4","6","3","3","0","0","2","3","7","13","18","6","15","24","38.46"
"593","Dylan Samberg","WPG","D","19","286.53333333333","1","2","1","1","3","30.00","17","5.88","0.7","45","26","13","1","1","3","8","4","4","0","0","3","14","2","28","33","38","0","0","-"
"602","Erik Brannstrom","OTT","D","27","435.78333333333","0","3","1","2","3","15.00","29","0.00","1.67","85","43","27","3","3","7","12","6","6","0","0","6","22","15","15","32","45","0","0","-"
"629","Mark Kastelic","OTT","C","24","207.26666666667","2","1","1","0","3","60.00","23","8.70","2.93","40","35","27","18","2","1","28","8","4","4","0","6","7","8","52","24","18","120","93","56.34"
"654","Martin Kaut","COL","R","18","184.13333333333","1","2","0","2","3","50.00","19","5.26","2.09","45","33","28","11","2","1","2","1","1","0","0","2","1","4","5","20","4","1","3","25.00"
"666","Barrett Hayton","ARI","C","26","385.93333333333","0","3","1","2","3","15.00","38","0.00","3.37","62","49","38","12","2","3","10","5","5","0","0","13","14","12","34","36","6","159","146","52.13"
"667","Liam Foudy","CBJ","C","14","151.45","0","3","3","0","3","75.00","7","0.00","1.05","16","11","10","5","0","1","4","2","2","0","0","4","3","2","12","8","3","0","3","0.00"
"680","Karson Kuhlman","SEA","C","14","135.85","1","2","0","2","3","60.00","13","7.69","1.43","25","18","16","6","1","2","0","0","0","0","0","2","4","7","8","10","6","0","0","-"
"690","David Gustafsson","WPG","C","26","262.8","0","3","2","1","3","50.00","24","0.00","2.23","38","31","24","13","2","5","4","2","2","0","0","3","7","12","10","27","12","56","75","42.75"
"696","Reese Johnson","CHI","C","20","202.13333333333","2","1","1","0","3","50.00","15","13.33","1.85","26","19","15","8","1","1","25","7","5","1","1","5","4","1","52","15","5","26","20","56.52"
"729","Vasily Podkolzin","VAN","R","16","201.16666666667","0","3","2","1","3","50.00","18","0.00","1.87","34","31","19","10","2","5","9","3","2","1","0","3","8","3","21","20","7","2","4","33.33"
"756","Quinton Byfield","L.A","C","8","94.15","0","3","1","2","3","60.00","5","0.00","0.93","13","11","8","6","1","1","4","2","2","0","0","2","2","2","4","11","2","31","33","48.44"
"769","Matt Kiersted","FLA","D","14","142.65","1","2","1","1","3","42.86","11","9.09","0.84","32","18","11","2","0","2","4","1","1","0","0","0","6","1","11","21","2","0","0","-"
"786","Nick Blankenburg","CBJ","D","7","126.28333333333","2","1","1","0","3","60.00","13","15.38","1.36","19","14","9","5","1","1","4","2","2","0","0","1","2","5","12","11","13","0","0","-"
"788","Filip Roos","CHI","D","15","244.68333333333","1","2","0","2","3","42.86","17","5.88","0.79","37","23","11","1","0","4","4","2","2","0","0","1","10","4","11","18","17","0","0","-"
"790","Pavol Regenda","ANA","L","14","147.58333333333","1","2","1","1","3","75.00","17","5.88","2.44","29","26","23","14","2","3","4","2","2","0","0","4","5","4","8","13","13","1","1","50.00"
"88","Jordie Benn","TOR","D","6","102.31666666667","1","1","1","0","2","50.00","8","12.50","0.98","21","12","7","4","0","5","6","3","3","0","0","1","8","0","18","8","15","0","0","-"
"103","Calvin de Haan","CAR","D","20","252.93333333333","1","1","0","1","2","28.57","18","5.56","1.24","51","39","18","4","1","7","6","3","3","0","0","1","3","4","38","15","23","0","0","-"
"137","Patrik Nemeth","ARI","D","21","346.03333333333","0","2","0","2","2","22.22","14","0.00","0.39","32","21","8","1","0","2","10","5","5","0","0","1","11","3","32","38","32","0","0","-"
"139","Tyler Pitlick","STL","C","19","178.15","1","1","1","0","2","50.00","11","9.09","1.19","20","18","13","5","0","5","2","1","1","0","0","3","1","3","34","27","8","0","1","0.00"
"161","Sam Carrick","ANA","C","13","128.25","0","2","0","2","2","40.00","14","0.00","0.9","24","18","10","5","0","3","21","6","3","3","0","7","4","2","21","6","6","42","51","45.16"
"192","Scott Harrington","S.J","D","4","61.016666666667","1","1","1","0","2","50.00","5","20.00","0.23","14","11","5","0","2","1","4","2","2","0","0","0","1","0","4","1","5","0","0","-"
"204","Joel Armia","MTL","R","16","243.68333333333","0","2","1","1","2","50.00","31","0.00","2.87","52","43","29","11","2","2","4","2","2","0","0","4","2","6","8","12","9","2","3","40.00"
"275","Kyle Burroughs","VAN","D","14","253.5","2","0","0","0","2","66.67","14","14.29","0.36","24","17","4","0","1","2","21","6","3","3","0","10","2","1","47","42","31","0","0","-"
"295","Michael McCarron","NSH","R","15","147.51666666667","1","1","1","0","2","50.00","21","4.76","2.28","36","28","20","13","0","6","17","7","6","1","0","3","0","4","34","16","13","19","19","50.00"
"302","Robert Hagg","DET","D","13","204.23333333333","0","2","2","0","2","50.00","19","0.00","0.74","33","27","6","2","3","2","10","5","5","0","0","4","4","1","36","20","17","0","0","-"
"303","Nic Petan","MIN","C","8","90.116666666667","0","2","1","1","2","33.33","6","0.00","0.42","12","8","3","2","0","0","2","1","1","0","0","2","0","2","3","4","3","0","1","0.00"
