"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"237","Chandler Stephenson","VGK","C","48","121.51666666667","5","7","4","3","12","57.14","16","31.25","3.43","26","24","22","14","1","4","0","0","0","0","0","0","3","0","3","7","1","94","54","63.51"
"334","Aaron Ekblad","FLA","D","38","135.7","4","8","4","4","12","50.00","30","13.33","3.81","66","43","26","9","0","11","0","0","0","0","0","0","6","0","3","4","1","0","0","-"
"371","Viktor Arvidsson","L.A","L, R","44","101","4","8","7","1","12","60.00","25","16.00","4.01","37","31","24","15","0","3","0","0","0","0","0","0","4","0","1","9","0","4","8","33.33"
"556","Casey Mittelstadt","BUF","C","46","108.66666666667","4","8","4","4","12","66.67","15","26.67","2.22","26","19","18","7","0","1","4","2","2","0","0","0","6","0","1","6","0","50","35","58.82"
"613","Sean Durzi","L.A","D","46","108.95","1","11","3","8","12","63.16","13","7.69","1.01","43","23","19","1","0","1","4","2","2","0","0","0","2","0","2","0","3","0","0","-"
"639","Andrei Svechnikov","CAR","R","46","159.1","4","8","3","5","12","57.14","38","10.53","6.06","79","65","50","14","0","9","6","3","3","0","0","2","9","1","2","11","0","0","0","-"
"691","Kirby Dach","MTL","C","47","156.85","3","9","5","4","12","75.00","7","42.86","1.09","17","10","12","3","0","0","6","3","3","0","0","1","2","0","1","7","2","2","5","28.57"
"67","Alex Pietrangelo","VGK","D","39","107.68333333333","1","10","5","5","11","64.71","11","9.09","1.06","27","19","10","0","0","1","2","1","1","0","0","0","0","2","1","4","3","0","0","-"
"89","Marcus Johansson","WSH","L","49","139.25","4","7","3","4","11","61.11","14","28.57","2.26","19","16","17","12","0","1","0","0","0","0","0","0","3","2","4","9","0","2","5","28.57"
"138","Brock Nelson","NYI","C","49","153.83333333333","3","8","6","2","11","68.75","43","6.98","4.46","81","57","46","8","1","4","2","1","1","0","0","1","3","3","3","3","1","47","34","58.02"
"191","Jonathan Huberdeau","CGY","C","45","138.26666666667","3","8","4","4","11","50.00","24","12.50","3.5","43","34","23","11","0","0","2","1","1","0","0","0","8","3","2","4","0","0","0","-"
"203","Stefan Noesen","CAR","R","43","127.55","6","5","1","4","11","57.89","30","20.00","7.27","47","41","41","33","0","7","4","2","2","0","0","1","5","0","5","2","0","11","10","52.38"
"206","Rickard Rakell","PIT","R","46","136.33333333333","8","3","2","1","11","57.89","35","22.86","7.38","61","51","44","30","0","6","6","3","3","0","0","0","4","0","4","10","1","3","1","75.00"
"354","Adrian Kempe","L.A","C, R","49","149.66666666667","6","5","3","2","11","57.89","28","21.43","3.85","58","42","33","7","2","4","2","1","1","0","0","0","4","0","1","7","1","0","0","-"
"435","Jake DeBrusk","BOS","L","36","109.7","5","6","4","2","11","44.00","28","17.86","5.54","39","36","33","28","0","5","4","2","2","0","0","1","3","0","2","7","0","0","1","0.00"
"482","Clayton Keller","ARI","R","47","151.58333333333","4","7","6","1","11","68.75","26","15.38","2.97","42","34","24","6","0","2","2","1","1","0","0","0","6","2","1","7","0","3","7","30.00"
"567","Nick Suzuki","MTL","C","47","170.06666666667","5","6","5","1","11","68.75","24","20.83","3.78","57","38","28","9","1","8","2","1","1","0","0","2","3","2","1","6","0","39","43","47.56"
"695","Trevor Zegras","ANA","C","47","145.38333333333","3","8","5","3","11","57.89","24","12.50","2.17","46","30","23","1","0","1","6","3","3","0","0","1","7","0","3","5","0","4","1","80.00"
"769","Mason McTavish","ANA","C","46","120.41666666667","4","7","4","3","11","68.75","40","10.00","6.59","65","57","34","14","0","8","0","0","0","0","0","0","4","0","0","8","1","5","7","41.67"
"781","Andrei Kuzmenko","VAN","L","45","127.4","9","2","1","1","11","55.00","19","47.37","4.7","30","29","30","29","0","0","2","1","1","0","0","1","1","0","0","5","0","0","0","-"
"6","Corey Perry","T.B","R","45","89.533333333333","4","6","3","3","10","47.62","18","22.22","2.78","22","21","20","14","0","2","6","3","3","0","0","2","2","0","2","8","0","0","0","-"
"14","David Krejci","BOS","C","41","107.18333333333","3","7","2","5","10","55.56","22","13.64","2.62","36","25","16","6","0","5","2","1","1","0","0","0","2","0","0","3","1","18","8","69.23"
"40","Jonathan Toews","CHI","C","44","133.83333333333","7","3","3","0","10","55.56","24","29.17","4.1","32","31","25","18","0","0","0","0","0","0","0","0","8","1","0","3","0","108","44","71.05"
"53","David Perron","DET","L","45","158.58333333333","3","7","3","4","10","47.62","46","6.52","5.03","84","69","43","3","1","3","2","1","1","0","0","1","6","1","1","3","0","0","1","0.00"
"94","Victor Hedman","T.B","D","42","122.3","0","10","6","4","10","52.63","12","0.00","1.34","31","20","9","1","0","3","0","0","0","0","0","0","7","4","4","2","5","0","0","-"
"104","Chris Kreider","NYR","L","44","174.3","4","6","4","2","10","35.71","42","9.52","9.75","65","62","61","56","1","8","2","1","1","0","0","0","6","1","5","9","1","0","2","0.00"
"142","Cam Fowler","ANA","D","47","122.05","3","7","2","5","10","66.67","20","15.00","1.37","50","25","16","2","0","4","0","0","0","0","0","0","2","4","0","0","1","0","0","-"
"238","Shayne Gostisbehere","ARI","D","47","152.5","3","7","4","3","10","62.50","32","9.38","2.94","62","48","19","5","0","6","4","2","2","0","0","1","4","1","2","3","2","0","0","-"
"426","Daniel Sprong","SEA","R","39","85","5","5","4","1","10","83.33","25","20.00","2.33","44","34","15","1","0","2","0","0","0","0","0","0","2","0","0","4","0","0","0","-"
"455","Troy Terry","ANA","R","47","139.48333333333","4","6","2","4","10","52.63","32","12.50","6.55","62","51","48","26","0","4","2","1","1","0","0","1","2","2","3","4","0","0","0","-"
"651","Noah Dobson","NYI","D","48","167.85","3","7","3","4","10","55.56","35","8.57","3.38","86","57","21","2","0","6","2","1","1","0","0","0","5","2","1","3","2","0","0","-"
"698","Cole Caufield","MTL","R","46","150.16666666667","7","3","0","3","10","62.50","42","16.67","5.84","80","64","45","9","0","5","0","0","0","0","0","0","3","0","0","5","0","0","0","-"
"12","Blake Wheeler","WPG","R","39","99.5","6","3","0","3","9","60.00","15","40.00","3.9","30","26","24","16","0","2","4","2","2","0","0","0","3","1","1","3","0","4","3","57.14"
"19","Anze Kopitar","L.A","C","49","155.05","2","7","3","4","9","45.00","19","10.53","2.84","35","25","20","8","0","3","0","0","0","0","0","0","5","0","3","5","0","90","72","55.56"
"75","Justin Schultz","SEA","D","42","94.283333333333","0","9","4","5","9","69.23","9","0.00","0.49","19","11","3","0","0","3","2","1","1","0","0","1","0","3","0","2","2","0","0","-"
"97","Brayden Schenn","STL","C","47","112.05","2","7","3","4","9","60.00","17","11.76","3.1","41","27","27","10","0","2","0","0","0","0","0","0","3","2","3","5","1","11","16","40.74"
"120","Anders Lee","NYI","L","49","161.81666666667","4","5","3","2","9","50.00","32","12.50","7.86","47","45","45","40","0","4","6","3","3","0","0","1","5","1","2","6","1","2","2","50.00"
"143","Vladimir Tarasenko","STL","R","34","95.416666666667","2","7","2","5","9","75.00","27","7.41","2.6","48","35","19","3","0","4","0","0","0","0","0","0","2","0","1","2","1","0","0","-"
"150","Ryan Johansen","NSH","C","46","144.91666666667","4","5","4","1","9","45.00","27","14.81","5.3","42","40","37","21","0","4","0","0","0","0","0","0","3","0","3","3","0","84","65","56.38"
"153","Mikael Granlund","NSH","C","46","139.6","1","8","5","3","9","52.94","16","6.25","3.57","29","24","22","15","1","3","2","1","1","0","0","0","5","1","1","6","0","6","8","42.86"
"161","Mark Stone","VGK","R","43","116.56666666667","3","6","4","2","9","45.00","22","13.64","4.52","36","29","35","21","0","1","2","1","1","0","0","1","3","2","1","6","1","0","1","0.00"
"216","Hampus Lindholm","BOS","D","46","102.88333333333","0","9","5","4","9","52.94","9","0.00","0.48","20","11","4","1","1","1","0","0","0","0","0","0","3","0","4","4","1","0","0","-"
"280","Jake Guentzel","PIT","L","42","161.46666666667","5","4","3","1","9","42.86","42","11.90","6.55","66","53","54","29","0","10","2","1","1","0","0","2","4","3","3","7","0","2","0","100.00"
"282","Carter Verhaeghe","FLA","C","48","104.31666666667","6","3","3","0","9","69.23","29","20.69","3.8","48","37","31","11","0","5","4","2","2","0","0","1","4","0","1","1","3","0","0","-"
"295","J.T. Compher","COL","L","45","118.35","4","5","3","2","9","52.94","23","17.39","4.25","37","31","31","17","0","6","0","0","0","0","0","0","2","0","3","8","1","59","44","57.28"
"308","Seth Jones","CHI","D","35","116.21666666667","1","8","4","4","9","47.37","27","3.70","2.12","42","36","10","2","0","5","8","3","3","0","0","0","8","0","3","2","4","0","0","-"
